No,E.Coli,Coliform,Arsen (As),Total Kromium (Cr-T),Kadmium (Cd),Nitrit (NO2-N),Nitrat (NO3-N),Selenium (Se),Alumunium (Al),pH,Sulfat (SO4),Tembaga (Cu),Padatan Terlarut Total (TDS),Kekeruhan,Kelayakan
44,"0,77","0,770","0,580","0,64","0,110","1,93","11,63","0,090","0,050","6,656","352,506","1,26","355,426","4,50",2
45,"0,00","0,000","0,002","0,04","0,001","1,80","22,43","0,007","0,046","7,072","7,370","0,708281063","148,223","0,15",1
46,"0,00","0,000","0,009","0,03","0,001","0,43","16,82","0,004","0,099","7,947","6,615","0,01","111,572","3,65",1
47,"0,00","0,000","0,008","0,03","0,000","0,62","6,69","0,007","0,170","8,245","28,899","1,794520024","226,104","3,32",1
48,"0,00","0,000","0,090","0,02","0,050","0,07","3,28","0,030","0,020","5,814","310,533","0,04","332,855","3,54",2
49,"0,00","0,000","0,002","0,02","0,001","2,24","48,05","0,002","0,177","8,352","20,469","1,692572463","296,354","2,71",1
50,"0,00","0,000","0,010","0,02","0,000","0,40","10,62","0,004","0,069","8,028","4,674","0,5052023194","260,535","2,46",1
51,"0,79","0,790","0,160","0,61","0,110","1,70","5,73","0,100","0,050","6,096","313,127","0,87","347,181","5,06",2
52,"0,00","0,000","0,004","0,04","0,002","1,46","14,66","0,006","0,105","7,694","6,769","0,42","165,842","3,77",1
53,"0,00","0,000","0,009","0,02","0,000","2,45","27,92","0,008","0,044","7,290","13,102","1,958869798","84,524","2,91",1
54,"0,00","0,000","0,008","0,01","0,001","0,20","16,01","0,005","0,160","7,357","3,701","0,08","225,331","4,12",1
55,"0,00","0,000","0,020","0,58","0,005","1,84","3,77","0,010","4,760","6,733","323,449","0,11","566,331","2,44",2
56,"0,83","0,830","0,110","0,00","0,020","2,41","1,12","0,100","3,670","6,749","380,078","1,47","522,301","3,97",2
57,"0,30","0,300","0,000","0,07","0,030","1,66","2,12","0,040","0,060","8,849","234,286","0,32","374,676","3,31",2
58,"0,00","0,000","0,040","0,09","0,070","2,63","2,62","0,060","0,020","8,289","354,821","0,83","435,666","4,14",2
59,"0,00","0,000","0,020","0,09","0,020","1,77","5,71","0,040","0,100","9,795","325,467","0,01","520,285","3,18",2
60,"0,94","0,940","0,000","0,09","0,020","0,36","8,59","0,070","0,000","6,125","341,638","0,05","418,543","3,81",2
61,"0,00","0,000","0,003","0,02","0,001","0,08","4,08","0,003","0,049","8,481","28,704","1,616086994","164,034","3,79",1
62,"0,00","0,000","0,050","0,00","0,030","1,55","18,78","0,080","0,010","6,752","265,469","0,07","398,029","3,44",2
63,"0,00","0,000","0,009","0,03","0,002","0,33","49,41","0,009","0,161","7,694","33,401","1,442852055","51,698","2,89",1
64,"0,00","0,000","0,004","0,01","0,001","1,68","10,44","0,007","0,046","7,099","39,582","1,854011386","79,476","4,13",1
65,"0,60","0,600","0,050","0,47","0,001","1,98","11,15","0,060","1,750","7,174","377,254","1,53","509,768","5,59",2
66,"0,02","0,020","0,008","0,03","0,003","0,80","13,30","0,004","0,020","6,924","25,118","0,01","284,389","0,78",1
67,"0,00","0,000","0,007","0,03","0,000","0,62","11,04","0,007","0,019","7,919","10,409","0,03","217,822","1,78",1
68,"0,00","0,000","0,003","0,02","0,002","1,22","46,65","0,008","0,142","7,814","29,855","0,8550444151","167,811","4,37",1
69,"0,00","0,000","0,007","0,04","0,001","1,59","18,08","0,006","0,091","7,066","6,722","1,33","129,330","3,27",1
70,"0,00","0,000","0,008","0,04","0,002","0,07","46,28","0,005","0,141","8,345","10,978","1,53424462","186,869","2,96",1
71,"0,00","0,000","0,003","0,04","0,003","0,53","29,86","0,009","0,126","7,677","35,180","1,479104876","228,110","2,08",1
72,"0,00","0,000","0,020","0,89","0,001","1,32","7,49","0,010","0,760","6,850","416,263","1,27","512,277","4,18",2
73,"0,00","0,000","0,003","0,03","0,001","0,54","11,75","0,007","0,105","6,727","11,255","0,449887712","86,867","0,59",1
74,"0,14","0,140","0,030","0,02","0,004","1,19","14,86","0,010","0,050","4,964","328,240","1,77","543,182","4,88",2
75,"0,00","0,000","0,005","0,02","0,002","0,47","29,32","0,002","0,144","7,932","15,438","1,690293555","173,625","2,96",1
76,"0,00","0,000","0,050","0,52","0,005","1,51","9,68","0,050","2,130","4,490","305,797","1,92","296,964","4,70",2
77,"0,00","0,000","0,840","0,12","0,110","2,08","16,88","0,050","1,560","7,606","340,914","1,41","420,595","4,03",2
78,"0,00","0,000","0,003","0,04","0,002","1,73","13,82","0,003","0,113","7,803","18,415","1,82","237,679","0,04",1
79,"0,23","0,230","0,510","0,70","0,110","1,59","14,83","0,050","0,080","5,977","352,277","1,32","387,589","2,43",2
80,"0,00","0,000","0,005","0,04","0,002","0,82","49,92","0,004","0,008","8,282","35,505","0,1032847187","154,677","3,24",1
81,"0,15","0,150","0,020","0,04","0,090","1,49","8,22","0,030","0,030","6,792","277,152","0,02","419,396","4,24",2
82,"0,48","0,480","0,010","0,51","0,003","1,24","13,20","0,090","2,330","6,920","314,331","0,46","413,910","4,25",2
83,"0,00","0,000","0,009","0,04","0,002","0,43","43,47","0,009","0,124","6,746","6,381","1,772733985","290,621","2,43",1
84,"0,63","0,630","0,030","0,53","0,006","1,96","11,36","0,090","0,000","7,343","390,554","0,96","496,105","3,07",2
85,"0,40","0,400","0,020","0,05","0,090","1,73","18,95","0,070","0,010","8,249","304,808","0,47","344,303","3,89",2
86,"0,00","0,000","0,002","0,01","0,000","2,52","22,78","0,006","0,026","6,997","3,100","0,552919669","108,564","2,23",1
87,"0,89","0,890","0,020","0,18","0,004","1,27","1,60","0,010","0,080","4,909","281,725","0,69","513,189","4,40",2
88,"0,00","0,000","0,050","0,07","0,080","1,39","5,85","0,020","0,040","8,693","337,558","0,1","424,209","3,53",2
89,"0,00","0,000","0,005","0,04","0,003","1,08","7,31","0,007","0,057","7,346","27,682","1,781811159","207,996","0,11",1
90,"0,30","0,300","0,060","0,05","0,020","1,27","0,37","0,090","0,030","4,032","398,648",1,"403,361","4,28",2
91,"0,00","0,000","0,006","0,04","0,000","0,73","26,00","0,010","0,139","6,804","36,140","0,3944754281","285,100","1,83",1
92,"0,00","0,000","0,050","0,01","0,080","0,20","16,01","0,020","0,060","9,228","306,643","0,08","274,765","3,30",2
93,"0,00","0,000","0,005","0,04","0,003","2,74","26,35","0,004","0,051","7,577","35,344","1,351916513","91,965","4,22",1
94,"0,00","0,000","0,009","0,02","0,000","0,38","22,73","0,009","0,156","7,596","38,103","1,08645323","160,106","4,00",1
95,"0,00","0,000","0,020","0,29","0,008","1,39","6,98","0,060","3,790","6,836","325,167","0,67","424,257","5,11",2
96,"0,48","0,480","0,690","0,90","0,000","1,66","10,64","0,030","0,010","7,040","343,792","0,8","491,079","2,02",2
97,"0,31","0,310","0,050","0,80","0,008","1,13","9,80","0,090","3,690","3,720","343,294","1,8","315,267","3,72",2
98,"0,91","0,910","0,780","0,16","0,120","1,43","8,99","0,020","0,050","4,994","291,199",0,"399,292","3,39",2
99,"0,00","0,000","0,006","0,03","0,003","1,06","19,55","0,006","0,052","8,307","2,256","1,672969586","85,845","4,01",1
100,"0,40","0,400","0,020","0,40","0,005","1,98","13,73","0,050","0,020","8,860","227,348","0,76","388,339","4,85",2
101,"0,00","0,000","0,030","0,09","0,000","1,18","5,42","0,000","0,000","6,324","307,704","0,09","581,078","3,76",2
102,"0,00","0,000","0,010","0,08","0,030","0,41","10,07","0,030","0,060","6,868","390,409","0,04","289,661","3,46",2
103,"0,00","0,000","0,002","0,04","0,001","0,32","49,03","0,008","0,173","6,827","34,113","1,061502467","204,712","0,34",1
104,"0,00","0,000","0,003","0,04","0,001","0,63","19,41","0,005","0,167","7,987","13,783","0,3705792492","201,847","0,04",1
105,"0,00","0,000","0,006","0,03","0,001","1,97","11,79","0,006","0,140","7,027","19,936","0,902575421","80,105","2,05",1
106,"0,00","0,000","0,008","0,03","0,002","1,05","17,13","0,008","0,197","6,942","25,831","1,028622587","209,132","1,21",1
107,"0,74","0,740","0,280","0,25","0,020","1,40","15,23","0,080","0,480","7,918","280,129","1,4","369,428","2,66",2
108,"0,00","0,000","0,009","0,02","0,002","2,31","32,44","0,008","0,089","7,500","7,590","0,03447208339","217,857","4,22",1
109,"0,00","0,000","0,005","0,04","0,001","0,87","33,02","0,007","0,057","8,132","4,964","1,362604","134,353","0,67",1
110,"0,00","0,000","0,070","0,09","0,020","1,20","15,74","0,080","0,070","7,978","277,033","1,4","358,174","3,37",2
111,"0,00","0,000","0,080","0,01","0,030","0,88","3,72","0,070","0,020","6,277","344,448","0,03","233,908","3,78",2
112,"0,50","0,500","0,050","0,71","0,003","1,90","17,42","0,020","0,080","9,315","300,185","1,03","350,827","5,23",2
113,"0,00","0,000","0,009","0,05","0,002","0,33","17,85","0,002","0,175","6,594","7,938","0,01","297,041","4,20",1
114,"0,00","0,000","0,003","0,03","0,003","2,43","1,24","0,002","0,144","6,905","32,085","1,526015745","196,646","4,14",1
115,"0,09","0,090","0,090","0,08","0,080","1,95","11,36","0,070","0,070","8,310","292,288","1,33","403,421","2,45",2
116,"0,00","0,000","0,001","0,05","0,001","2,17","20,53","0,007","0,048","7,162","15,986","1,496692985","83,576","2,81",1
117,"0,00","0,000","0,007","0,03","0,002","1,20","17,01","0,004","0,185","7,538","36,444","1,91","275,883","2,97",1
118,"0,00","0,000","0,060","0,07","0,040","0,70","13,82","0,090","0,090","8,142","300,293","0,1","281,544","3,65",2
119,"0,23","0,230","0,180","0,54","0,100","1,12","14,90","0,070","0,070","9,239","309,218","0,09","372,023","3,67",2
120,"0,00","0,000","0,005","0,03","0,000","1,54","41,17","0,006","0,080","7,204","39,201","1,460947915","151,473","4,66",1
121,"0,00","0,000","0,009","0,04","0,002","1,58","1,69","0,006","0,019","8,492","3,228","1,03","206,186","3,04",1
122,"0,00","0,000","0,002","0,03","0,001","1,68","18,14","0,002","0,148","7,446","22,379","0,06820271057","166,266","1,35",1
123,"0,00","0,000","0,003","0,04","0,003","2,01","20,51","0,005","0,198","8,426","1,822","1,880718104","152,853","3,90",1
124,"0,00","0,000","0,008","0,03","0,001","0,03","1,48","0,009","0,036","8,218","9,368","0,02","262,507","0,08",1
125,"0,00","0,000","0,007","0,03","0,000","0,22","10,16","0,009","0,159","6,532","3,988","0,04","95,792","0,87",1
126,"0,28","0,280","0,040","0,03","0,060","1,10","15,98","0,050","0,020","7,040","252,067","0,75","360,933","3,25",2
127,"0,63","0,630","0,770","0,48","0,120","1,18","7,39","0,050","0,050","6,652","344,034","0,06","383,982","3,17",2
128,"0,50","0,500","0,001","0,41","0,002","1,81","16,62","0,000","2,020","10,356","387,246","0,78","375,965","3,53",2
129,"0,00","0,000","0,003","0,04","0,001","1,30","47,50","0,005","0,192","6,503","30,422","1,568098905","291,803","0,95",1
130,"0,00","0,000","0,006","0,01","0,001","1,20","28,04","0,006","0,154","8,204","1,239","0,3999223506","234,426","4,24",1
131,"0,28","0,280","0,010","0,57","0,005","1,18","3,21","0,050","0,020","7,494","313,412","0,06","374,523","4,89",2
132,"0,00","0,000","0,003","0,03","0,001","0,18","16,25","0,006","0,140","7,143","16,743","0,04","106,014","3,39",1
133,"0,00","0,000","0,004","0,03","0,002","0,24","25,62","0,006","0,048","7,770","8,871","0,7756241285","240,256","3,09",1
134,"0,00","0,000","0,090","0,03","0,050","0,89","17,60","0,070","0,010","7,991","355,083","1,69","363,974","4,12",2
135,"0,42","0,420","0,020","0,05","0,040","1,69","9,11","0,010","0,090","6,747","323,352","0,14","420,534","4,57",2
136,"0,00","0,000","0,005","0,05","0,001","1,36","36,02","0,009","0,051","6,816","17,131","0,2240917557","276,136","2,09",1
137,"0,62","0,620","0,100","0,04","0,040","1,35","0,71","0,000","0,020","5,429","378,776","0,03","398,518","2,85",2
138,"0,82","0,820","0,020","0,21","0,003","1,29","16,88","0,050","0,010","3,855","313,875","0,03","512,429","3,45",2
139,"0,00","0,000","0,008","0,05","0,001","1,55","19,99","0,007","0,035","7,159","5,497","0,9883712067","170,176","1,36",1
140,"0,00","0,000","0,004","0,02","0,001","0,25","33,08","0,007","0,149","7,630","8,158","1,302552313","92,426","4,85",1
141,"0,00","0,000","0,040","0,79","0,001","1,31","14,29","0,030","0,280","6,771","351,319","0,31","474,990","2,61",2
142,"0,50","0,500","0,030","0,00","0,050","1,43","6,32","0,100","0,050","7,277","322,169","1,76","294,876","3,59",2
143,"0,88","0,880","0,340","0,23","0,100","1,84","11,35","0,070","0,120","6,876","326,694","0,04","492,206","4,62",2
144,"0,31","0,310","0,001","0,18","0,004","1,10","11,01","0,040","4,070","9,568","281,996","0,33","349,313","3,80",2
145,"0,00","0,000","0,002","0,02","0,001","0,05","20,72","0,006","0,095","7,280","31,766","1,644502244","197,172","2,11",1
146,"0,00","0,000","0,003","0,04","0,000","2,25","12,77","0,004","0,011","7,857","1,238","1,076252754","87,378","1,11",1
147,"0,00","0,000","0,006","0,03","0,000","2,86","43,04","0,007","0,036","6,822","19,810","0,7624358804","229,872","3,19",1
148,"0,00","0,000","0,007","0,04","0,003","2,89","2,19","0,010","0,128","7,786","3,736","1,850003456","61,819","3,97",1
149,"0,00","0,000","0,008","0,04","0,001","0,08","2,76","0,001","0,016","6,914","18,408","0,6939110714","177,150","2,99",1
150,"0,20","0,200","0,010","0,62","0,002","1,61","0,55","0,060","0,010","7,288","332,615","0,28","495,513","3,51",2
151,"0,52","0,520","0,470","0,04","0,080","1,82","17,60","0,100","0,110","8,520","282,344","0,06","475,296","5,36",2
152,"0,00","0,000","0,100","0,06","0,090","1,33","2,87","0,010","0,030","4,726","319,254","0,01","336,831","4,04",2
153,"0,44","0,440","0,660","0,38","0,110","1,34","10,34","0,040","1,370","9,578","238,844","1,5","494,289","4,75",2
154,"0,00","0,000","0,010","0,04","0,002","0,48","1,45","0,006","0,017","8,181","33,768","0,01","140,124","1,34",1
155,"0,00","0,000","0,010","0,02","0,001","0,44","30,91","0,004","0,152","6,666","15,784","0,5502425339","56,854","2,78",1
156,"0,31","0,310","0,040","0,40","0,005","1,61","14,61","0,050","4,930","5,393","329,167","1,64","393,294","4,27",2
157,"0,00","0,000","0,002","0,02","0,003","0,54","3,50","0,002","0,104","8,372","21,475","0,1429699955","173,016","1,92",1
158,"0,00","0,000","0,007","0,05","0,003","1,32","3,06","0,007","0,076","7,572","36,433","0,8482379609","168,869","3,41",1
159,"0,05","0,050","0,002","0,04","0,002","1,20","11,59","0,009","0,035","6,621","34,826","0,54","217,782","0,57",1
160,"0,00","0,000","0,020","0,05","0,050","0,61","17,58","0,040","0,050","6,058","340,393","0,81","348,041","4,26",2
161,"0,00","0,000","0,007","0,03","0,002","0,84","36,55","0,003","0,029","7,340","18,597","0,5373532844","147,942","4,66",1
162,"0,00","0,000","0,002","0,05","0,002","1,22","4,00","0,008","0,110","7,147","13,209","1,958468713","281,349","2,52",1
163,"0,00","0,000","0,005","0,04","0,002","1,56","32,08","0,002","0,191","7,041","18,177","1,367285065","129,157","3,33",1
164,"0,38","0,380","0,001","0,11","0,008","1,32","11,50","0,070","0,010","6,683","335,349","0,53","342,746","4,27",2
165,"0,19","0,190","0,050","0,42","0,008","1,70","2,06","0,030","0,130","8,108","295,895","1,56","386,298","4,67",2
166,"0,00","0,000","0,290","0,28","0,080","2,20","1,33","0,040","1,000","6,153","383,239","1,77","525,075","4,54",2
167,"0,00","0,000","0,003","0,02","0,002","0,59","6,69","0,004","0,046","7,589","38,554","0,09","201,108","3,72",1
168,"0,62","0,620","0,001","0,25","0,005","1,00","18,01","0,080","1,990","8,589","369,608","1,57","353,913","4,30",2
169,"0,00","0,000","0,009","0,01","0,000","2,90","21,65","0,002","0,131","7,058","37,017","1,710055312","128,175","4,56",1
170,"0,35","0,350","0,730","0,32","0,060","1,96","7,93","0,010","3,180","6,505","335,623","0,72","581,078","4,26",2
171,"0,00","0,000","0,040","0,06","0,050","0,27","16,24","0,050","0,100","6,816","366,214","0,75","487,435","2,41",2
172,"0,00","0,000","0,003","0,03","0,002","2,25","9,12","0,009","0,058","8,396","25,494","0,6433284493","122,913","0,77",1
173,"0,00","0,000","0,009","0,02","0,001","2,47","42,09","0,004","0,049","6,626","6,384","0,3778554688","59,435","4,74",1
174,"0,00","0,000","0,006","0,03","0,001","0,35","7,87","0,003","0,100","7,839","38,114","1,338788256","69,644","2,37",1
175,"0,00","0,000","0,030","0,04","0,040","0,23","16,42","0,010","0,030","6,967","355,897","0,03","551,145","5,22",2
176,"0,00","0,000","0,005","0,03","0,002","0,69","5,79","0,003","0,020","6,695","1,629","0,84","67,896","3,79",1
177,"0,00","0,000","0,006","0,02","0,000","0,79","13,46","0,005","0,172","6,617","28,972","1,688198689","260,135","0,75",1
178,"0,00","0,000","0,005","0,02","0,001","1,78","26,51","0,008","0,040","7,527","13,049","1,993006242","157,015","4,78",1
179,"0,00","0,000","0,050","0,01","0,060","0,96","8,46","0,100","0,070","8,019","423,952","1,82","496,990","5,13",2
180,"0,00","0,000","0,003","0,04","0,001","1,19","24,73","0,002","0,186","7,594","27,484","0,346250867","138,249","0,13",1
181,"0,00","0,000","0,008","0,01","0,002","1,69","1,18","0,003","0,095","7,765","33,665","0,06","203,232","4,96",1
182,"0,00","0,000","0,008","0,04","0,002","0,43","1,87","0,005","0,182","7,072","14,036","0,08","176,716","3,09",1
183,"0,13","0,130","0,950","0,52","0,030","1,88","19,40","0,000","0,050","6,571","261,357","1,84","444,479","4,78",2
184,"0,20","0,200","0,000","0,08","0,050","1,72","9,51","0,000","0,080","5,906","375,434","0,08","360,756","3,26",2
185,"0,00","0,000","0,006","0,03","0,001","1,35","31,83","0,004","0,095","7,090","3,875","0,04055568117","271,598","0,50",1
186,"0,00","0,000","0,008","0,01","0,002","2,51","10,80","0,003","0,111","8,015","31,408","0,04","63,792","0,82",1
187,"0,07","0,070","0,040","0,04","0,030","1,16","3,65","0,030","0,050","8,058","233,793","1,04","348,265","3,78",2
188,"0,00","0,000","0,004","0,03","0,002","0,90","4,62","0,006","0,150","7,672","10,468","1,05","64,922","4,50",1
189,"0,00","0,000","0,008","0,02","0,001","1,91","13,75","0,006","0,053","7,226","39,696","0,05","124,956","4,32",1
190,"0,00","0,000","0,009","0,01","0,003","0,92","16,19","0,010","0,183","8,402","28,104","0,2562510157","241,877","3,72",1
191,"0,00","0,000","0,009","0,05","0,000","0,88","36,48","0,009","0,099","7,318","28,914","1,800091592","138,006","3,65",1
192,"0,14","0,140","0,010","0,42","0,001","1,30","15,19","0,070","0,060","8,433","298,577","0,83","484,173","2,97",2
193,"0,05","0,050","0,005","0,03","0,001","1,76","13,92","0,009","0,125","7,818","18,381","0,77","163,611","3,52",1
194,"0,00","0,000","0,001","0,02","0,003","0,73","7,67","0,002","0,011","7,322","26,025","0,899231709","73,927","1,02",1
195,"0,00","0,000","0,009","0,04","0,001","1,64","1,10","0,010","0,103","7,238","37,447","0,69","218,076","2,16",1
196,"0,00","0,000","0,030","0,51","0,003","1,20","8,62","0,060","2,030","6,784","356,420","0,93","539,465","4,95",2
197,"0,00","0,000","0,007","0,02","0,002","2,03","9,64","0,006","0,097","7,351","17,343","0,01","298,299","3,71",1
198,"0,00","0,000","0,007","0,01","0,001","2,53","2,51","0,003","0,146","8,127","34,448","1,165644151","119,042","0,82",1
199,"0,00","0,000","0,220","0,90","0,040","2,09","11,46","0,090","1,760","10,550","278,428","0,22","391,667","4,14",2
200,"0,00","0,000","0,003","0,05","0,003","1,31","0,12","0,008","0,147","6,940","31,270","1,36270773","172,432","2,12",1
201,"0,00","0,000","0,007","0,05","0,003","0,59","10,96","0,008","0,163","6,547","2,825","0,1","234,783","1,89",1
202,"0,79","0,790","0,080","0,05","0,090","1,40","16,88","0,070","0,100","9,107","311,467","0,76","523,242","5,04",2
203,"0,00","0,000","0,005","0,03","0,001","2,67","23,53","0,001","0,132","6,947","16,055","0,5332399423","143,934","2,91",1
204,"0,53","0,530","1,020","0,01","0,050","1,27","13,53","0,030","0,070","6,574","253,158","0,93","389,303","3,31",2
205,"0,31","0,310","0,630","0,54","0,020","1,25","17,76","0,030","0,010","7,802","380,514","0,59","491,478","4,46",2
206,"0,00","0,000","0,005","0,01","0,003","2,88","7,28","0,003","0,167","7,411","7,310","0,4013954674","254,719","4,60",1
207,"0,00","0,000","0,002","0,02","0,001","1,79","6,37","0,002","0,109","8,228","24,399","1,600508581","158,576","4,69",1
208,"0,00","0,000","0,003","0,03","0,001","0,32","10,11","0,008","0,114","7,203","5,150","1,36","251,240","1,88",1
209,"0,70","0,700","0,070","0,05","0,060","0,76","14,64","0,070","0,080","6,109","322,755","0,77","447,122","5,71",2
210,"0,97","0,970","0,040","0,01","0,010","1,39","3,83","0,040","0,070","4,638","313,344","1,38","364,578","4,71",2
211,"0,00","0,000","0,070","0,03","0,070","2,27","17,03","0,060","0,060","9,609","321,814","0,75","394,768","4,33",2
212,"0,00","0,000","0,004","0,02","0,001","0,39","0,96","0,008","0,181","8,451","16,476","0,08","247,751","0,25",1
213,"0,00","0,000","0,040","0,86","0,001","1,93","12,63","0,040","4,360","6,139","315,405","1,23","410,480","2,95",2
214,"0,00","0,000","0,001","0,01","0,002","0,17","8,62","0,004","0,073","7,777","22,209","0,27","264,181","1,35",1
215,"0,00","0,000","0,050","0,07","0,070","0,87","9,14","0,020","0,010","6,454","363,180","1,14","489,272","3,40",2
216,"0,24","0,240","0,900","0,72","0,020","1,48","12,84","0,060","1,300","6,527","335,549","1,05","404,406","3,44",2
217,"0,00","0,000","0,003","0,04","0,002","2,40","21,98","0,001","0,155","7,412","29,368","0,2184646218","263,545","2,32",1
218,"0,00","0,000","0,004","0,04","0,003","1,91","2,15","0,009","0,171","7,360","7,572","0,84","286,956","4,59",1
219,"0,00","0,000","0,009","0,03","0,000","2,49","9,05","0,002","0,001","7,849","17,363","1,454847712","59,533","4,43",1
220,"0,00","0,000","0,004","0,05","0,001","1,13","6,42","0,009","0,135","8,279","26,170","1,25","139,157","1,75",1
221,"0,00","0,000","0,020","0,00","0,050","0,39","9,65","0,090","0,010","6,186","369,224","0,1","465,555","2,20",2
